Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70251,2,1,1,1,7,3,0,0,0,0,-1,5,1
200501BS70252,2,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS70253,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70254,1,1,1,1,6,3,0,0,0,0,-1,3,-1
200501BS70255,2,1,2,2,6,3,0,0,0,3,-1,11,-1
200501BS70255,2,2,2,1,1,3,0,0,0,3,-1,11,-1
200501BS70256,1,1,3,2,4,3,5,1,0,0,-1,0,1
200501BS70258,1,1,1,1,5,3,0,0,0,0,-1,1,1
200501BS70259,1,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS70259,2,2,1,1,-1,3,0,0,0,0,-1,1,-1
200501BS70260,1,1,1,1,5,3,0,0,0,0,-1,3,1
200501BS70261,2,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70262,2,1,1,1,7,3,0,0,0,0,-1,3,1
200501BS70263,2,1,1,1,7,3,0,0,0,0,-1,5,1
200501BS70264,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70266,1,1,1,1,5,2,0,0,0,0,-1,1,1
200501BS70267,2,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70268,1,1,2,2,11,3,0,0,0,3,-1,11,1
200501BS70269,1,1,1,1,6,3,0,0,0,0,-1,2,1
200501BS70270,2,1,1,1,7,3,0,0,0,0,-1,1,-1
200501BS70271,1,1,2,2,11,3,0,0,0,2,-1,11,1
200501BS70271,2,2,1,2,8,3,0,0,0,0,-1,1,1
200501BS70272,1,1,1,2,5,2,0,0,0,0,-1,1,1
200501BS70273,1,1,3,2,11,3,5,2,0,0,-1,0,1
200501BS70274,2,1,1,1,8,3,0,0,0,0,-1,5,1
200501BS70275,2,1,1,2,6,3,0,0,0,0,-1,9,1
200501BS70276,1,1,2,2,8,2,0,0,0,2,-1,11,-1
200501BS70277,2,1,1,1,8,2,0,0,0,0,-1,3,1
200501BS70278,2,1,2,2,-1,2,0,0,0,0,-1,3,-1
200501BS70279,1,1,1,1,6,2,0,0,0,0,-1,1,1
200501BS70280,1,1,3,1,5,3,5,1,0,0,-1,0,1
200501BS70281,1,1,1,1,7,3,0,0,0,0,-1,1,1
200501BS70282,1,1,1,1,6,3,0,0,0,0,-1,2,1
200501BS70283,1,1,3,1,5,3,6,9,0,0,-1,0,1
200501BS70284,2,1,1,1,9,3,0,0,0,0,-1,5,1
200501BS70285,1,1,1,1,4,3,0,0,0,0,-1,3,1
200501BS70286,1,1,3,1,4,3,4,1,0,0,-1,0,3
200501BS70287,2,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS70288,1,1,3,1,2,3,1,1,0,0,-1,0,1
200501BS70289,1,1,1,2,6,3,0,0,0,0,-1,9,1
200501BS70290,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70291,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70292,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70292,2,2,1,1,7,3,0,0,0,0,-1,5,-1
200501BS70293,1,1,3,1,6,3,5,3,0,0,-1,0,1
200501BS70294,1,1,1,1,8,3,0,0,0,0,-1,8,1
200501BS70295,1,1,2,1,-1,3,0,0,2,0,-1,9,-1
200501BS70296,1,1,1,2,9,3,0,0,0,0,-1,5,1
200501BS70297,3,1,1,1,9,3,0,0,0,0,-1,8,1
200501BS70298,1,1,1,1,8,2,0,0,0,0,-1,3,1
200501BS70299,1,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70300,1,1,1,2,7,3,0,0,0,0,-1,9,1
200501BS70301,2,1,1,1,6,2,0,0,0,0,-1,1,-1
200501BS70302,2,1,1,2,8,3,0,0,0,0,-1,9,2
200501BS70303,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70303,2,2,2,2,8,3,0,0,0,4,-1,11,1
200501BS70304,1,1,3,1,7,3,5,1,0,0,-1,0,1
200501BS70305,1,1,3,1,6,3,4,3,0,0,-1,0,1
200501BS70306,1,1,1,2,6,3,0,0,0,0,-1,1,1
200501BS70307,1,1,1,2,5,3,0,0,0,0,-1,3,1
200501BS70308,1,1,3,1,8,3,1,1,0,0,-1,0,1
200501BS70309,1,1,2,2,8,3,0,0,0,3,-1,11,1
200501BS70310,1,1,1,1,5,3,0,0,0,0,-1,9,1
200501BS70311,1,1,1,1,6,3,0,0,0,0,-1,2,1
200501BS70312,2,1,2,1,1,3,0,0,2,0,-1,9,1
200501BS70313,1,1,2,2,8,3,0,0,0,3,-1,11,1
200501BS70314,1,1,2,2,7,3,0,0,0,3,-1,11,1
200501BS70315,1,3,2,2,-1,3,0,0,0,3,-1,11,1
200501BS70315,2,1,1,1,6,3,0,0,0,0,-1,21,1
